request_id,created_at,client_id,account_id,amount,currency,destination_type,destination_id,requested_speed,channel,note
W100117,2026-03-06 03:18:18.484468+00:00,C024,A0002,2475.06,USD,bank,D00040,standard,advisor,
W100046,2026-03-06 13:50:54.657647+00:00,C006,A0023,8218.61,USD,bank,D00011,urgent,app,
W100055_DUP,2026-03-06 01:07:13.581307+00:00,C007,A0032,2000.27,USD,crypto,D00012,standard,app,
W100061,2026-03-06 12:26:03.711297+00:00,C024,A0025,2038.82,USD,bank,D00040,urgent,ops,
W100026_DUP,2026-03-06 08:42:21.341604+00:00,C016,A0021,1145.83,USD,bank,D00026,standard,app,
W100079,2026-03-05 23:39:58.037663+00:00,C027,A0035,7518.15,USD,bank,D00047,standard,app,
W100101,2026-03-05 03:07:08.240979+00:00,C016,A0017,1735.94,USD,bank,D00026,standard,advisor,
W100041,2026-03-05 12:29:48.625145+00:00,C017,A0034,10920.86,USD,bank,D00029,standard,ops,
W100058,2026-03-06 03:31:55.069159+00:00,C004,A0018,10730.44,USD,bank,D00006,standard,advisor,needs asap
W100090,2026-03-05 06:59:47.460409+00:00,C024,A0025,836.28,USD,bank,D00040,standard,app,
W100048,2026-03-05 17:15:51.146647+00:00,C014,A0020,4216.9,USD,bank,D00024,standard,advisor,
W100088,2026-03-05 16:56:40.684521+00:00,C014,A0020,1556.51,USD,bank,D00024,standard,advisor,
W100109,2026-03-05 03:45:53.631534+00:00,C025,A0028,7110.68,USD,bank,D00043,standard,advisor,needs asap
W100057,2026-03-05 20:06:55.147487+00:00,C006,A0023,9827.84,USD,bank,D00011,urgent,ops,
W100075,2026-03-05 14:28:22.559053+00:00,C014,A0004,1363.04,USD,bank,D00024,urgent,app,
W100032,2026-03-05 22:44:07.741112+00:00,C003,A0010,9330.97,USD,bank,D00005,standard,app,needs asap
W100044_DUP,2026-03-05 09:17:16.872327+00:00,C020,A0003,10244.98,USD,bank,D00036,standard,advisor,
W100059,2026-03-05 18:36:19.418737+00:00,C014,A0020,2282.12,USD,bank,D00024,standard,app,
W100063,2026-03-06 07:12:01.722346+00:00,C028,A0024,371.46,USD,crypto,D00048,standard,app,
W100107,2026-03-06 14:04:26.790899+00:00,C020,A0026,19245.96,USD,bank,D00036,standard,advisor,
W100037,2026-03-06 07:54:56.288486+00:00,C016,A0021,942.2,USD,bank,D00026,urgent,app,
W100029,2026-03-05 03:20:38.735615+00:00,C020,A0003,27278.01,USD,bank,D00036,standard,ops,needs asap
W100114,2026-03-06 00:34:06.974835+00:00,C025,A0028,415.24,USD,bank,D00043,standard,advisor,
W100001,2026-03-05 11:04:06.474179+00:00,C024,A0016,3049.9,USD,bank,D00040,standard,ops,
W100052,2026-03-05 11:40:00.518122+00:00,C014,A0004,9835.49,USD,bank,D00024,urgent,advisor,needs asap
W100021,2026-03-06 07:20:24.070476+00:00,C003,A0001,5328.65,USD,bank,D00005,standard,app,
W100002,2026-03-06 13:33:10.033416+00:00,C021,A0008,4505.68,USD,bank,D00037,standard,app,
W100023,2026-03-06 10:32:34.834345+00:00,C014,A0020,622.88,USD,bank,D00024,urgent,app,
W100103,2026-03-06 00:26:04.971416+00:00,C004,A0018,4144.94,USD,bank,D00006,urgent,app,
W100099,2026-03-05 09:27:03.034350+00:00,C016,A0021,437.22,USD,bank,D00026,standard,ops,
W100087,2026-03-06 05:19:11.650987+00:00,C023,A0013,5836.91,USD,bank,D00039,standard,app,
W100116,2026-03-06 10:12:56.579553+00:00,C026,A0019,4793.59,USD,bank,D00046,standard,app,
W100074,2026-03-06 07:48:05.698645+00:00,C026,A0006,69426.98,USD,bank,D00046,standard,ops,needs asap
W100086,2026-03-06 02:00:22.202923+00:00,C024,A0002,1364.52,USD,bank,D00040,urgent,app,
W100082,2026-03-05 08:00:06.870504+00:00,C030,A0012,4593.63,USD,bank,D00052,standard,app,
W100010_DUP,2026-03-05 09:35:21.519557+00:00,C017,A0034,11003.28,USD,bank,D00029,urgent,app,
W100020,2026-03-06 06:15:36.687420+00:00,C030,A0012,5257.29,USD,bank,D00052,urgent,app,
W100060,2026-03-05 14:34:33.040942+00:00,C026,A0019,4027.66,USD,bank,D00046,standard,app,
W100071,2026-03-06 12:40:13.355111+00:00,C014,A0030,11715.75,USD,bank,D00024,standard,advisor,
W100106,2026-03-05 18:08:54.159669+00:00,C007,A0009,1105.14,USD,crypto,D00012,standard,app,
W100014,2026-03-06 05:34:59.591482+00:00,C014,A0004,1929.38,USD,bank,D00024,standard,app,
W100092,2026-03-06 11:13:33.773351+00:00,C014,A0004,4748.63,USD,bank,D00024,standard,app,
W100051,2026-03-05 23:48:43.603467+00:00,C030,A0012,18378.93,USD,bank,D00052,standard,app,needs asap
W100102,2026-03-06 12:14:42.370594+00:00,C014,A0004,3263.51,USD,bank,D00024,standard,app,
