request_id,decision,reason_code,severity,created_at,client_id,account_id,amount,currency,destination_type,destination_id,requested_speed,channel,snapshot_account_status,snapshot_kyc_status,snapshot_aml_risk_tier,snapshot_available_cash,snapshot_settled_cash,snapshot_unsettled_cash,available_cash_after_request,settled_cash_after_request,dest_is_whitelisted,dest_days_since_change,dest_changed_recently_flag,urgent_risk_flag,duplicate_candidate_flag,duplicate_pair_request_id,mins_from_prev,mins_to_next,triggered_rules
W100039,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-05 15:18:45.198462+00:00,C023,A0014,1859.07,USD,bank,D00039,standard,advisor,frozen,verified,low,15815.23,15815.23,0.0,13956.16,13956.16,True,2.1666666666666665,True,False,False,,,,ACCOUNT_NOT_ACTIVE | DEST_CHANGED_RECENTLY
W100031,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-05 15:24:11.787265+00:00,C013,A0027,26978.71,USD,bank,D00023,standard,ops,closed,verified,medium,114617.12,91487.88,23129.24,87638.41,64509.170000000006,True,99.625,False,False,False,,,,ACCOUNT_NOT_ACTIVE
W100019,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-06 01:37:44.488632+00:00,C023,A0014,3352.79,USD,bank,D00039,standard,ops,frozen,verified,low,15815.23,15815.23,0.0,12462.44,12462.44,True,2.1666666666666665,True,False,False,,,,ACCOUNT_NOT_ACTIVE | DEST_CHANGED_RECENTLY
W100112,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-06 05:22:13.584404+00:00,C026,A0006,15791.24,USD,bank,D00046,urgent,app,frozen,verified,low,93006.28,68698.61,24307.67,77215.04,52907.37,True,233.25,False,False,False,,,,ACCOUNT_NOT_ACTIVE
W100063,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-06 07:12:01.722346+00:00,C028,A0024,371.46,USD,crypto,D00048,standard,app,frozen,verified,high,3654.75,2900.32,754.43,3283.29,2528.86,True,258.875,False,False,False,,,,ACCOUNT_NOT_ACTIVE
W100021,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-06 07:20:24.070476+00:00,C003,A0001,5328.65,USD,bank,D00005,standard,app,frozen,verified,medium,16973.47,16085.89,887.58,11644.820000000002,10757.24,True,82.66666666666667,False,False,False,,,,ACCOUNT_NOT_ACTIVE
W100078,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-06 07:23:23.752625+00:00,C003,A0001,6385.61,USD,bank,D00005,standard,app,frozen,verified,medium,16973.47,16085.89,887.58,10587.86,9700.28,True,82.66666666666667,False,False,False,,,,ACCOUNT_NOT_ACTIVE
W100089,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-06 07:26:49.298436+00:00,C026,A0006,9484.75,USD,bank,D00046,urgent,app,frozen,verified,low,93006.28,68698.61,24307.67,83521.53,59213.86,True,233.25,False,False,False,,,,ACCOUNT_NOT_ACTIVE
W100074,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-06 07:48:05.698645+00:00,C026,A0006,69426.98,USD,bank,D00046,standard,ops,frozen,verified,low,93006.28,68698.61,24307.67,23579.300000000003,-728.3699999999953,True,233.25,False,False,False,,,,ACCOUNT_NOT_ACTIVE | INSUFFICIENT_SETTLED_AFTER_BUFFER
W100025,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-06 08:29:19.568876+00:00,C028,A0024,1268.89,USD,crypto,D00048,standard,app,frozen,verified,high,3654.75,2900.32,754.43,2385.86,1631.43,True,258.875,False,False,False,,,,ACCOUNT_NOT_ACTIVE
W100080,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-06 08:29:39.296003+00:00,C013,A0005,66495.36,USD,bank,D00023,standard,app,frozen,verified,low,145635.61,135142.53,10493.08,79140.24999999999,68647.17,True,99.625,False,False,False,,,,ACCOUNT_NOT_ACTIVE
W100066,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-06 08:38:37.749842+00:00,C003,A0001,6044.91,USD,bank,D00005,standard,advisor,frozen,verified,medium,16973.47,16085.89,887.58,10928.56,10040.98,True,82.66666666666667,False,False,False,,,,ACCOUNT_NOT_ACTIVE
W100096,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-06 10:26:00.639893+00:00,C028,A0024,796.96,USD,crypto,D00048,standard,ops,frozen,verified,high,3654.75,2900.32,754.43,2857.79,2103.36,True,258.875,False,False,False,,,,ACCOUNT_NOT_ACTIVE
W100077,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-06 11:15:00.649629+00:00,C028,A0024,1132.28,USD,crypto,D00048,standard,ops,frozen,verified,high,3654.75,2900.32,754.43,2522.4700000000003,1768.0400000000002,True,258.875,False,False,False,,,,ACCOUNT_NOT_ACTIVE
W100085,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-06 12:49:16.749623+00:00,C013,A0005,136028.77,USD,bank,D00023,urgent,ops,frozen,verified,low,145635.61,135142.53,10493.08,9606.839999999997,-886.2399999999907,True,99.625,False,False,False,,,,ACCOUNT_NOT_ACTIVE | INSUFFICIENT_SETTLED_AFTER_BUFFER
W100047,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-06 13:01:45.706405+00:00,C013,A0027,91705.36,USD,bank,D00023,standard,app,closed,verified,medium,114617.12,91487.88,23129.24,22911.759999999995,-217.47999999999595,True,99.625,False,False,True,W100047_DUP,,10.0,ACCOUNT_NOT_ACTIVE | DUPLICATE_REQUEST | INSUFFICIENT_SETTLED_AFTER_BUFFER
W100047_DUP,REJECT,ACCOUNT_NOT_ACTIVE,95.0,2026-03-06 13:11:45.706405+00:00,C013,A0027,91705.36,USD,bank,D00023,standard,app,closed,verified,medium,114617.12,91487.88,23129.24,22911.759999999995,-217.47999999999595,True,99.625,False,False,True,W100047,10.0,,ACCOUNT_NOT_ACTIVE | DUPLICATE_REQUEST | INSUFFICIENT_SETTLED_AFTER_BUFFER
W100068,REJECT,INVALID_AMOUNT,85.0,2026-03-05 21:58:32.078416+00:00,C027,A0035,0.0,USD,bank,D00047,standard,advisor,active,verified,low,33893.12,20749.15,13143.97,33893.12,20749.15,True,210.0,False,False,False,,,,INVALID_AMOUNT
W100064,HOLD,DUPLICATE_REQUEST,70.0,2026-03-05 06:46:35.358174+00:00,C007,A0032,4482.85,USD,crypto,D00012,urgent,app,active,verified,low,12529.37,11684.78,844.59,8046.52,7201.93,True,252.25,False,False,True,W100064_DUP,,7.0,DUPLICATE_REQUEST
W100064_DUP,HOLD,DUPLICATE_REQUEST,70.0,2026-03-05 06:53:35.358174+00:00,C007,A0032,4482.85,USD,crypto,D00012,urgent,app,active,verified,low,12529.37,11684.78,844.59,8046.52,7201.93,True,252.25,False,False,True,W100064,7.0,,DUPLICATE_REQUEST
W100044,HOLD,DUPLICATE_REQUEST,70.0,2026-03-05 09:08:16.872327+00:00,C020,A0003,10244.98,USD,bank,D00036,standard,advisor,active,verified,low,26634.8,26634.8,0.0,16389.82,16389.82,True,4.666666666666667,True,False,True,W100044_DUP,,9.0,DUPLICATE_REQUEST | DEST_CHANGED_RECENTLY
W100044_DUP,HOLD,DUPLICATE_REQUEST,70.0,2026-03-05 09:17:16.872327+00:00,C020,A0003,10244.98,USD,bank,D00036,standard,advisor,active,verified,low,26634.8,26634.8,0.0,16389.82,16389.82,True,4.666666666666667,True,False,True,W100044,9.0,,DUPLICATE_REQUEST | DEST_CHANGED_RECENTLY
W100004,HOLD,DUPLICATE_REQUEST,70.0,2026-03-05 09:19:55.351331+00:00,C020,A0026,21878.31,USD,bank,D00036,standard,app,active,verified,low,90442.59,64491.09,25951.5,68564.28,42612.78,True,4.666666666666667,True,False,True,W100004_DUP,,11.0,DUPLICATE_REQUEST | DEST_CHANGED_RECENTLY
W100010,HOLD,DUPLICATE_REQUEST,70.0,2026-03-05 09:28:21.519557+00:00,C017,A0034,11003.28,USD,bank,D00029,urgent,app,active,verified,low,43077.99,39862.47,3215.52,32074.71,28859.19,True,195.33333333333331,False,False,True,W100010_DUP,,7.0,DUPLICATE_REQUEST
W100004_DUP,HOLD,DUPLICATE_REQUEST,70.0,2026-03-05 09:30:55.351331+00:00,C020,A0026,21878.31,USD,bank,D00036,standard,app,active,verified,low,90442.59,64491.09,25951.5,68564.28,42612.78,True,4.666666666666667,True,False,True,W100004,11.0,,DUPLICATE_REQUEST | DEST_CHANGED_RECENTLY
W100010_DUP,HOLD,DUPLICATE_REQUEST,70.0,2026-03-05 09:35:21.519557+00:00,C017,A0034,11003.28,USD,bank,D00029,urgent,app,active,verified,low,43077.99,39862.47,3215.52,32074.71,28859.19,True,195.33333333333331,False,False,True,W100010,7.0,,DUPLICATE_REQUEST
W100073,HOLD,DUPLICATE_REQUEST,70.0,2026-03-05 17:49:45.791614+00:00,C024,A0025,3063.75,USD,bank,D00040,standard,app,active,verified,low,11601.4,11601.4,0.0,8537.65,8537.65,True,23.0,False,False,True,W100073_DUP,,6.0,DUPLICATE_REQUEST
W100073_DUP,HOLD,DUPLICATE_REQUEST,70.0,2026-03-05 17:55:45.791614+00:00,C024,A0025,3063.75,USD,bank,D00040,standard,app,active,verified,low,11601.4,11601.4,0.0,8537.65,8537.65,True,23.0,False,False,True,W100073,6.0,,DUPLICATE_REQUEST
W100055,HOLD,DUPLICATE_REQUEST,70.0,2026-03-06 01:00:13.581307+00:00,C007,A0032,2000.27,USD,crypto,D00012,standard,app,active,verified,low,12529.37,11684.78,844.59,10529.1,9684.51,True,252.25,False,False,True,W100055_DUP,,7.0,DUPLICATE_REQUEST
W100055_DUP,HOLD,DUPLICATE_REQUEST,70.0,2026-03-06 01:07:13.581307+00:00,C007,A0032,2000.27,USD,crypto,D00012,standard,app,active,verified,low,12529.37,11684.78,844.59,10529.1,9684.51,True,252.25,False,False,True,W100055,7.0,,DUPLICATE_REQUEST
W100026,HOLD,DUPLICATE_REQUEST,70.0,2026-03-06 08:31:21.341604+00:00,C016,A0021,1145.83,USD,bank,D00026,standard,app,active,verified,high,2629.56,2629.56,0.0,1483.73,1483.73,True,2.2916666666666665,True,False,True,W100026_DUP,,11.0,DUPLICATE_REQUEST | DEST_CHANGED_RECENTLY
W100026_DUP,HOLD,DUPLICATE_REQUEST,70.0,2026-03-06 08:42:21.341604+00:00,C016,A0021,1145.83,USD,bank,D00026,standard,app,active,verified,high,2629.56,2629.56,0.0,1483.73,1483.73,True,2.2916666666666665,True,False,True,W100026,11.0,,DUPLICATE_REQUEST | DEST_CHANGED_RECENTLY
W100029,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65.0,2026-03-05 03:20:38.735615+00:00,C020,A0003,27278.01,USD,bank,D00036,standard,ops,active,verified,low,26634.8,26634.8,0.0,-643.2099999999991,-643.2099999999991,True,4.666666666666667,True,False,False,,,,INSUFFICIENT_SETTLED_AFTER_BUFFER | INSUFFICIENT_AVAILABLE_AFTER_BUFFER | DEST_CHANGED_RECENTLY
W100109,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65.0,2026-03-05 03:45:53.631534+00:00,C025,A0028,7110.68,USD,bank,D00043,standard,advisor,active,verified,medium,6605.84,6605.84,0.0,-504.84000000000015,-504.84000000000015,True,254.83333333333331,False,False,False,,,,INSUFFICIENT_SETTLED_AFTER_BUFFER | INSUFFICIENT_AVAILABLE_AFTER_BUFFER
W100052,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65.0,2026-03-05 11:40:00.518122+00:00,C014,A0004,9835.49,USD,bank,D00024,urgent,advisor,active,verified,high,10559.06,9744.65,814.41,723.5699999999997,-90.84000000000016,True,60.125,False,True,False,,,,INSUFFICIENT_SETTLED_AFTER_BUFFER | URGENT_RISK_TIER
W100022,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65.0,2026-03-05 11:53:47.864334+00:00,C026,A0019,11612.55,USD,bank,D00046,urgent,app,active,verified,low,13532.22,10968.51,2563.71,1919.67,-644.039999999999,True,233.25,False,False,False,,,,INSUFFICIENT_SETTLED_AFTER_BUFFER
W100045,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65.0,2026-03-05 13:21:46.536378+00:00,C014,A0030,27013.79,USD,bank,D00024,urgent,advisor,active,verified,low,31752.29,26434.76,5317.53,4738.5,-579.0300000000025,True,60.125,False,False,False,,,,INSUFFICIENT_SETTLED_AFTER_BUFFER
W100054,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65.0,2026-03-05 18:42:29.571010+00:00,C024,A0002,6719.15,USD,bank,D00040,urgent,app,active,verified,medium,7021.51,6348.06,673.45,302.3600000000006,-371.0899999999992,True,23.0,False,True,False,,,,INSUFFICIENT_SETTLED_AFTER_BUFFER | URGENT_RISK_TIER
W100069,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65.0,2026-03-05 21:45:21.294399+00:00,C014,A0020,8906.77,USD,bank,D00024,standard,app,active,verified,high,8425.31,8425.31,0.0,-481.46000000000095,-481.46000000000095,True,60.125,False,False,False,,,,INSUFFICIENT_SETTLED_AFTER_BUFFER | INSUFFICIENT_AVAILABLE_AFTER_BUFFER
W100032,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65.0,2026-03-05 22:44:07.741112+00:00,C003,A0010,9330.97,USD,bank,D00005,standard,app,active,verified,medium,9920.02,8452.08,1467.94,589.0500000000011,-878.8899999999994,True,82.66666666666667,False,False,False,,,,INSUFFICIENT_SETTLED_AFTER_BUFFER
W100012,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65.0,2026-03-06 00:40:39.221968+00:00,C027,A0035,20942.37,USD,bank,D00047,urgent,advisor,active,verified,low,33893.12,20749.15,13143.97,12950.750000000004,-193.21999999999755,True,210.0,False,False,False,,,,INSUFFICIENT_SETTLED_AFTER_BUFFER
W100058,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65.0,2026-03-06 03:31:55.069159+00:00,C004,A0018,10730.44,USD,bank,D00006,standard,advisor,active,verified,low,17257.87,10299.43,6958.44,6527.429999999999,-431.0100000000002,True,6.958333333333333,True,False,False,,,,INSUFFICIENT_SETTLED_AFTER_BUFFER | DEST_CHANGED_RECENTLY
W100072,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65.0,2026-03-06 07:05:47.823966+00:00,C014,A0020,8669.22,USD,bank,D00024,urgent,ops,active,verified,high,8425.31,8425.31,0.0,-243.90999999999983,-243.90999999999983,True,60.125,False,True,False,,,,INSUFFICIENT_SETTLED_AFTER_BUFFER | INSUFFICIENT_AVAILABLE_AFTER_BUFFER | URGENT_RISK_TIER
W100005,HOLD,INSUFFICIENT_SETTLED_AFTER_BUFFER,65.0,2026-03-06 08:47:08.050635+00:00,C025,A0028,6859.8,USD,bank,D00043,urgent,advisor,active,verified,medium,6605.84,6605.84,0.0,-253.96000000000004,-253.96000000000004,True,254.83333333333331,False,True,False,,,,INSUFFICIENT_SETTLED_AFTER_BUFFER | INSUFFICIENT_AVAILABLE_AFTER_BUFFER | URGENT_RISK_TIER
W100101,HOLD,DEST_CHANGED_RECENTLY,45.0,2026-03-05 03:07:08.240979+00:00,C016,A0017,1735.94,USD,bank,D00026,standard,advisor,active,verified,low,11883.91,5980.34,5903.57,10147.97,4244.4,True,2.2916666666666665,True,False,False,,,,DEST_CHANGED_RECENTLY
W100007,HOLD,DEST_CHANGED_RECENTLY,45.0,2026-03-05 07:58:59.970520+00:00,C004,A0018,673.76,USD,bank,D00006,standard,app,active,verified,low,17257.87,10299.43,6958.44,16584.11,9625.67,True,6.958333333333333,True,False,False,,,,DEST_CHANGED_RECENTLY
W100099,HOLD,DEST_CHANGED_RECENTLY,45.0,2026-03-05 09:27:03.034350+00:00,C016,A0021,437.22,USD,bank,D00026,standard,ops,active,verified,high,2629.56,2629.56,0.0,2192.34,2192.34,True,2.2916666666666665,True,False,False,,,,DEST_CHANGED_RECENTLY
W100115,HOLD,DEST_CHANGED_RECENTLY,45.0,2026-03-05 17:51:57.071662+00:00,C016,A0021,790.59,USD,bank,D00026,urgent,app,active,verified,high,2629.56,2629.56,0.0,1838.97,1838.97,True,2.2916666666666665,True,True,False,,,,DEST_CHANGED_RECENTLY | URGENT_RISK_TIER
W100016,HOLD,DEST_CHANGED_RECENTLY,45.0,2026-03-05 20:45:01.461466+00:00,C004,A0018,2425.21,USD,bank,D00006,standard,app,active,verified,low,17257.87,10299.43,6958.44,14832.66,7874.22,True,6.958333333333333,True,False,False,,,,DEST_CHANGED_RECENTLY
W100110,HOLD,DEST_CHANGED_RECENTLY,45.0,2026-03-05 20:56:55.335199+00:00,C016,A0011,6282.8,USD,bank,D00026,standard,ops,active,verified,low,31180.7,25464.77,5715.93,24897.9,19181.97,True,2.2916666666666665,True,False,False,,,,DEST_CHANGED_RECENTLY
W100103,HOLD,DEST_CHANGED_RECENTLY,45.0,2026-03-06 00:26:04.971416+00:00,C004,A0018,4144.94,USD,bank,D00006,urgent,app,active,verified,low,17257.87,10299.43,6958.44,13112.93,6154.490000000001,True,6.958333333333333,True,False,False,,,,DEST_CHANGED_RECENTLY
W100033,HOLD,DEST_CHANGED_RECENTLY,45.0,2026-03-06 00:44:00.705387+00:00,C016,A0021,293.04,USD,bank,D00026,standard,app,active,verified,high,2629.56,2629.56,0.0,2336.52,2336.52,True,2.2916666666666665,True,False,False,,,,DEST_CHANGED_RECENTLY
W100118,HOLD,DEST_CHANGED_RECENTLY,45.0,2026-03-06 07:52:59.311403+00:00,C004,A0018,1546.7,USD,bank,D00006,standard,app,active,verified,low,17257.87,10299.43,6958.44,15711.169999999998,8752.73,True,6.958333333333333,True,False,False,,,,DEST_CHANGED_RECENTLY
W100037,HOLD,DEST_CHANGED_RECENTLY,45.0,2026-03-06 07:54:56.288486+00:00,C016,A0021,942.2,USD,bank,D00026,urgent,app,active,verified,high,2629.56,2629.56,0.0,1687.36,1687.36,True,2.2916666666666665,True,True,False,,,,DEST_CHANGED_RECENTLY | URGENT_RISK_TIER
W100006,HOLD,DEST_CHANGED_RECENTLY,45.0,2026-03-06 09:32:32.201856+00:00,C016,A0011,10904.22,USD,bank,D00026,standard,app,active,verified,low,31180.7,25464.77,5715.93,20276.480000000003,14560.55,True,2.2916666666666665,True,False,False,,,,DEST_CHANGED_RECENTLY
W100081,HOLD,DEST_CHANGED_RECENTLY,45.0,2026-03-06 09:58:40.891828+00:00,C020,A0003,4398.52,USD,bank,D00036,urgent,advisor,active,verified,low,26634.8,26634.8,0.0,22236.28,22236.28,True,4.666666666666667,True,False,False,,,,DEST_CHANGED_RECENTLY
W100011,HOLD,DEST_CHANGED_RECENTLY,45.0,2026-03-06 11:28:45.596742+00:00,C020,A0026,21420.67,USD,bank,D00036,standard,app,active,verified,low,90442.59,64491.09,25951.5,69021.92,43070.42,True,4.666666666666667,True,False,False,,,,DEST_CHANGED_RECENTLY
W100107,HOLD,DEST_CHANGED_RECENTLY,45.0,2026-03-06 14:04:26.790899+00:00,C020,A0026,19245.96,USD,bank,D00036,standard,advisor,active,verified,low,90442.59,64491.09,25951.5,71196.63,45245.13,True,4.666666666666667,True,False,False,,,,DEST_CHANGED_RECENTLY
W100075,HOLD,URGENT_RISK_TIER,35.0,2026-03-05 14:28:22.559053+00:00,C014,A0004,1363.04,USD,bank,D00024,urgent,app,active,verified,high,10559.06,9744.65,814.41,9196.02,8381.61,True,60.125,False,True,False,,,,URGENT_RISK_TIER
W100043,HOLD,URGENT_RISK_TIER,35.0,2026-03-05 19:04:38.877917+00:00,C025,A0028,2699.82,USD,bank,D00043,urgent,app,active,verified,medium,6605.84,6605.84,0.0,3906.02,3906.02,True,254.83333333333331,False,True,False,,,,URGENT_RISK_TIER
W100057,HOLD,URGENT_RISK_TIER,35.0,2026-03-05 20:06:55.147487+00:00,C006,A0023,9827.84,USD,bank,D00011,urgent,ops,active,verified,high,39952.75,33268.86,6683.89,30124.91,23441.02,True,170.0,False,True,False,,,,URGENT_RISK_TIER
W100049,HOLD,URGENT_RISK_TIER,35.0,2026-03-05 21:23:39.565294+00:00,C024,A0002,819.32,USD,bank,D00040,urgent,app,active,verified,medium,7021.51,6348.06,673.45,6202.1900000000005,5528.740000000001,True,23.0,False,True,False,,,,URGENT_RISK_TIER
W100028,HOLD,URGENT_RISK_TIER,35.0,2026-03-06 00:32:00.466367+00:00,C025,A0028,2709.37,USD,bank,D00043,urgent,app,active,verified,medium,6605.84,6605.84,0.0,3896.47,3896.47,True,254.83333333333331,False,True,False,,,,URGENT_RISK_TIER
W100086,HOLD,URGENT_RISK_TIER,35.0,2026-03-06 02:00:22.202923+00:00,C024,A0002,1364.52,USD,bank,D00040,urgent,app,active,verified,medium,7021.51,6348.06,673.45,5656.99,4983.540000000001,True,23.0,False,True,False,,,,URGENT_RISK_TIER
W100023,HOLD,URGENT_RISK_TIER,35.0,2026-03-06 10:32:34.834345+00:00,C014,A0020,622.88,USD,bank,D00024,urgent,app,active,verified,high,8425.31,8425.31,0.0,7802.429999999999,7802.429999999999,True,60.125,False,True,False,,,,URGENT_RISK_TIER
W100119,HOLD,URGENT_RISK_TIER,35.0,2026-03-06 11:06:08.825213+00:00,C003,A0033,1364.85,USD,bank,D00005,urgent,ops,active,verified,high,7580.13,5235.15,2344.98,6215.280000000001,3870.3,True,82.66666666666667,False,True,False,,,,URGENT_RISK_TIER
W100046,HOLD,URGENT_RISK_TIER,35.0,2026-03-06 13:50:54.657647+00:00,C006,A0023,8218.61,USD,bank,D00011,urgent,app,active,verified,high,39952.75,33268.86,6683.89,31734.14,25050.25,True,170.0,False,True,False,,,,URGENT_RISK_TIER
W100035,APPROVE,,,2026-03-05 03:52:25.233166+00:00,C014,A0020,3445.06,USD,bank,D00024,standard,advisor,active,verified,high,8425.31,8425.31,0.0,4980.25,4980.25,True,60.125,False,False,False,,,,
W100091,APPROVE,,,2026-03-05 05:31:04.565896+00:00,C025,A0028,2827.69,USD,bank,D00043,standard,app,active,verified,medium,6605.84,6605.84,0.0,3778.15,3778.15,True,254.83333333333331,False,False,False,,,,
W100090,APPROVE,,,2026-03-05 06:59:47.460409+00:00,C024,A0025,836.28,USD,bank,D00040,standard,app,active,verified,low,11601.4,11601.4,0.0,10765.12,10765.12,True,23.0,False,False,False,,,,
W100034,APPROVE,,,2026-03-05 07:28:19.148426+00:00,C003,A0010,4300.85,USD,bank,D00005,standard,app,active,verified,medium,9920.02,8452.08,1467.94,5619.17,4151.23,True,82.66666666666667,False,False,False,,,,
W100036,APPROVE,,,2026-03-05 07:33:05.937393+00:00,C024,A0025,1000.41,USD,bank,D00040,urgent,app,active,verified,low,11601.4,11601.4,0.0,10600.99,10600.99,True,23.0,False,False,False,,,,
W100097,APPROVE,,,2026-03-05 08:17:04.966865+00:00,C021,A0008,6683.68,USD,bank,D00037,standard,ops,active,verified,low,20444.37,16255.79,4188.58,13760.69,9572.11,True,336.9583333333333,False,False,False,,,,
W100053,APPROVE,,,2026-03-05 09:12:26.311857+00:00,C027,A0035,3035.63,USD,bank,D00047,standard,advisor,active,verified,low,33893.12,20749.15,13143.97,30857.49,17713.52,True,210.0,False,False,False,,,,
W100008,APPROVE,,,2026-03-05 09:19:55.700270+00:00,C017,A0034,13847.58,USD,bank,D00029,standard,app,active,verified,low,43077.99,39862.47,3215.52,29230.41,26014.89,True,195.33333333333331,False,False,False,,,,
W100027,APPROVE,,,2026-03-05 09:19:57.889573+00:00,C003,A0010,3721.95,USD,bank,D00005,standard,advisor,active,verified,medium,9920.02,8452.08,1467.94,6198.070000000001,4730.13,True,82.66666666666667,False,False,False,,,,
W100098,APPROVE,,,2026-03-05 11:47:49.487155+00:00,C006,A0023,2861.14,USD,bank,D00011,standard,app,active,verified,high,39952.75,33268.86,6683.89,37091.61,30407.72,True,170.0,False,False,False,,,,
W100013,APPROVE,,,2026-03-05 12:23:12.650969+00:00,C003,A0010,2330.72,USD,bank,D00005,standard,app,active,verified,medium,9920.02,8452.08,1467.94,7589.300000000001,6121.360000000001,True,82.66666666666667,False,False,False,,,,
